product_id;product_name;brand;rating;review_text;review_date
101;Samsung Galaxy A55;Samsung;3;Средне, есть недостатки по звуку.;17.04.2024
102;Xiaomi Redmi Note 13;Xiaomi;2;Много бесполезных приложений в системе.;08.09.2024
103;Apple iPhone 15;Apple;5;Очень доволен качеством, всё работает отлично.;21.08.2024
101;Samsung Galaxy A55;Samsung;2;Памяти маловато для фото и видео.;25.07.2024
102;Xiaomi Redmi Note 13;Xiaomi;2;Производительность на высоте.;31.07.2024
103;Apple iPhone 15;Apple;4;Рекомендую друзьям, лучший выбор.;01.07.2024
101;Samsung Galaxy A55;Samsung;1;Цена высокая, но оправдана.;24.09.2024
102;Xiaomi Redmi Note 13;Xiaomi;3;Средне, есть недостатки по звуку.;15.09.2024
103;Apple iPhone 15;Apple;2;Камера не впечатлила.;13.06.2024
101;Samsung Galaxy A55;Samsung;3;Памяти маловато для фото и видео.;19.05.2024
102;Xiaomi Redmi Note 13;Xiaomi;3;Памяти маловато для фото и видео.;08.07.2024
103;Apple iPhone 15;Apple;2;Средне, есть недостатки по звуку.;06.07.2024
101;Samsung Galaxy A55;Samsung;4;Рекомендую друзьям, лучший выбор.;11.07.2024
102;Xiaomi Redmi Note 13;Xiaomi;1;Медленно работает GPS.;14.10.2024
103;Apple iPhone 15;Apple;5;Плохая комплектация, ожидал больше.;21.10.2024
101;Samsung Galaxy A55;Samsung;2;Очень доволен качеством, всё работает отлично.;10.09.2024
102;Xiaomi Redmi Note 13;Xiaomi;4;Слишком быстро разряжается батарея.;06.07.2024
103;Apple iPhone 15;Apple;2;Цена высокая, но оправдана.;15.08.2024
101;Samsung Galaxy A55;Samsung;5;Дизайн простой, но функционал на уровне.;11.04.2024
102;Xiaomi Redmi Note 13;Xiaomi;2;Нестабильная связь, иногда пропадает интернет.;04.07.2024
103;Apple iPhone 15;Apple;2;Компактный и лёгкий, удобно носить.;28.10.2024
101;Samsung Galaxy A55;Samsung;1;Рекомендую друзьям, лучший выбор.;05.08.2024
102;Xiaomi Redmi Note 13;Xiaomi;1;Нестабильная связь, иногда пропадает интернет.;21.09.2024
103;Apple iPhone 15;Apple;4;Компактный и лёгкий, удобно носить.;24.11.2024
101;Samsung Galaxy A55;Samsung;1;Соотношение цена/качество оптимальное.;15.09.2024
102;Xiaomi Redmi Note 13;Xiaomi;5;Нестабильная связь, иногда пропадает интернет.;15.10.2024
103;Apple iPhone 15;Apple;1;Удобный интерфейс, всё понятно.;19.10.2024
101;Samsung Galaxy A55;Samsung;1;Производительность на высоте.;03.08.2024
102;Xiaomi Redmi Note 13;Xiaomi;5;Слабый аккумулятор, приходится заряжать дважды в день.;04.08.2024
103;Apple iPhone 15;Apple;5;Средне, есть недостатки по звуку.;26.08.2024
101;Samsung Galaxy A55;Samsung;5;Памяти маловато для фото и видео.;21.09.2024
102;Xiaomi Redmi Note 13;Xiaomi;1;Корпус царапается, нужен чехол.;29.08.2024
103;Apple iPhone 15;Apple;2;Памяти маловато для фото и видео.;03.09.2024
101;Samsung Galaxy A55;Samsung;1;Медленно работает GPS.;19.08.2024
102;Xiaomi Redmi Note 13;Xiaomi;1;Средне, есть недостатки по звуку.;29.08.2024
103;Apple iPhone 15;Apple;2;Приятно держать в руке, экран яркий.;19.09.2024
101;Samsung Galaxy A55;Samsung;4;Очень доволен качеством, всё работает отлично.;02.06.2024
102;Xiaomi Redmi Note 13;Xiaomi;5;Камера не впечатлила.;31.08.2024
103;Apple iPhone 15;Apple;3;Медленно работает GPS.;11.06.2024
101;Samsung Galaxy A55;Samsung;5;Рекомендую друзьям, лучший выбор.;21.05.2024
102;Xiaomi Redmi Note 13;Xiaomi;4;Плохая комплектация, ожидал больше.;24.08.2024
103;Apple iPhone 15;Apple;4;Производительность на высоте.;17.09.2024
101;Samsung Galaxy A55;Samsung;3;Фото отличное, особенно ночные снимки.;17.06.2024
102;Xiaomi Redmi Note 13;Xiaomi;4;Нестабильная связь, иногда пропадает интернет.;21.08.2024
103;Apple iPhone 15;Apple;4;Очень доволен качеством, всё работает отлично.;04.06.2024
101;Samsung Galaxy A55;Samsung;1;Корпус царапается, нужен чехол.;22.08.2024
102;Xiaomi Redmi Note 13;Xiaomi;3;Медленно работает GPS.;11.06.2024
103;Apple iPhone 15;Apple;1;Удобный интерфейс, всё понятно.;09.09.2024
101;Samsung Galaxy A55;Samsung;3;Цена высокая, но оправдана.;17.07.2024
102;Xiaomi Redmi Note 13;Xiaomi;2;Слабый аккумулятор, приходится заряжать дважды в день.;04.07.2024
103;Apple iPhone 15;Apple;2;Нестабильная связь, иногда пропадает интернет.;07.08.2024
101;Samsung Galaxy A55;Samsung;1;Рекомендую друзьям, лучший выбор.;23.06.2024
102;Xiaomi Redmi Note 13;Xiaomi;1;Памяти маловато для фото и видео.;19.05.2024
103;Apple iPhone 15;Apple;5;Цена высокая, но оправдана.;27.08.2024
101;Samsung Galaxy A55;Samsung;2;Камера не впечатлила.;07.07.2024
102;Xiaomi Redmi Note 13;Xiaomi;4;Приятно держать в руке, экран яркий.;12.08.2024
103;Apple iPhone 15;Apple;1;Рекомендую друзьям, лучший выбор.;29.10.2024
101;Samsung Galaxy A55;Samsung;1;Корпус царапается, нужен чехол.;04.05.2024
102;Xiaomi Redmi Note 13;Xiaomi;3;Камера не впечатлила.;26.05.2024
103;Apple iPhone 15;Apple;2;Слишком быстро разряжается батарея.;06.07.2024
101;Samsung Galaxy A55;Samsung;4;Соотношение цена/качество оптимальное.;28.07.2024
102;Xiaomi Redmi Note 13;Xiaomi;5;Приятно держать в руке, экран яркий.;01.07.2024
103;Apple iPhone 15;Apple;4;Памяти маловато для фото и видео.;17.06.2024
101;Samsung Galaxy A55;Samsung;2;Удобный интерфейс, всё понятно.;11.04.2024
102;Xiaomi Redmi Note 13;Xiaomi;1;Производительность на высоте.;08.08.2024
103;Apple iPhone 15;Apple;3;Медленно работает GPS.;24.10.2024
101;Samsung Galaxy A55;Samsung;3;Корпус царапается, нужен чехол.;07.05.2024
102;Xiaomi Redmi Note 13;Xiaomi;3;Фото отличное, особенно ночные снимки.;01.10.2024
103;Apple iPhone 15;Apple;5;Нестабильная связь, иногда пропадает интернет.;30.07.2024
101;Samsung Galaxy A55;Samsung;2;Памяти маловато для фото и видео.;20.04.2024
102;Xiaomi Redmi Note 13;Xiaomi;2;Соотношение цена/качество оптимальное.;19.09.2024
103;Apple iPhone 15;Apple;5;Слишком быстро разряжается батарея.;07.09.2024
101;Samsung Galaxy A55;Samsung;5;Памяти маловато для фото и видео.;10.05.2024
102;Xiaomi Redmi Note 13;Xiaomi;3;Производительность на высоте.;27.09.2024
103;Apple iPhone 15;Apple;1;Слабый аккумулятор, приходится заряжать дважды в день.;03.08.2024
101;Samsung Galaxy A55;Samsung;1;Плохая комплектация, ожидал больше.;16.06.2024
102;Xiaomi Redmi Note 13;Xiaomi;3;Дизайн простой, но функционал на уровне.;09.09.2024
103;Apple iPhone 15;Apple;2;Производительность на высоте.;15.08.2024
101;Samsung Galaxy A55;Samsung;5;Памяти маловато для фото и видео.;30.04.2024
102;Xiaomi Redmi Note 13;Xiaomi;4;Нестабильная связь, иногда пропадает интернет.;18.09.2024
103;Apple iPhone 15;Apple;1;Средне, есть недостатки по звуку.;15.10.2024
101;Samsung Galaxy A55;Samsung;4;Камера не впечатлила.;02.08.2024
102;Xiaomi Redmi Note 13;Xiaomi;1;Компактный и лёгкий, удобно носить.;18.06.2024
103;Apple iPhone 15;Apple;5;Корпус царапается, нужен чехол.;09.08.2024
101;Samsung Galaxy A55;Samsung;5;Нестабильная связь, иногда пропадает интернет.;16.09.2024
102;Xiaomi Redmi Note 13;Xiaomi;2;Нестабильная связь, иногда пропадает интернет.;21.08.2024
103;Apple iPhone 15;Apple;1;Приятно держать в руке, экран яркий.;24.06.2024
101;Samsung Galaxy A55;Samsung;2;Удобный интерфейс, всё понятно.;18.08.2024
102;Xiaomi Redmi Note 13;Xiaomi;4;Камера не впечатлила.;18.07.2024
103;Apple iPhone 15;Apple;5;Производительность на высоте.;17.10.2024
